author,title,description,url,publishedAt,content
Passant Rabie,Ships Stuck in the Strait of Hormuz Could Cause an ‘Invasive Superspreader Event’,Scientists warn that thousands of stranded vessels may lead to the spread of invasive species around the world.,https://gizmodo.com/ships-stuck-in-the-strait-of-hormuz-could-cause-an-invasive-superspreader-event-2000792824,2026-07-30T14:20:36Z,"The Strait of Hormuz has been closed since February 28, stranding more than 1,500 vessels in the narrow waterway. Aside from the impact on the global supply chain, the idle ships could also have a de… [+3339 chars]"
https://www.facebook.com/bbcnews,US renews strikes on Iran as Trump threatens to attack Pickaxe Mountain,The US president's threat to target a key Iranian nuclear site came ahead of the 11th consecutive night of attacks.,https://www.bbc.co.uk/news/articles/cdrv0p37k8jo,2026-07-22T03:05:08Z,"The United States launched strikes on Iran for the 11th consecutive night late on Tuesday, as Tehran warned the US against targeting its nuclear facilities.
US Central Command (Centcom) said the wav… [+3661 chars]"
By Samia Nakhoul,"Analysis-After Hormuz, Iran turns to Red Sea gateway as new pressure point","By Samia Nakhoul BEIRUT, July 14 (Reuters) - Having choked off shipping through the Strait of Hormuz, Iran is now signaling it could play its most dangerous...",https://www.yahoo.com/news/world/articles/analysis-hormuz-iran-turns-red-141711447.html,2026-07-14T14:17:11Z,"By Samia Nakhoul
BEIRUT, July 14 (Reuters) - Having choked off shipping through the Strait of Hormuz, Iran is now signaling it could play its most dangerous card yet: using Yemen's Houthi allies to … [+5039 chars]"
DAVID McHUGH,Mideast oil producers step up plans to bypass the Strait of Hormuz,"Before the war in Iran, roughly 15 million barrels of Persian Gulf oil were shipped each day through the Strait of Hormuz.  Within a few years, much of that...",https://www.yahoo.com/news/world/articles/ml--iran-bypassing-hormuz-072947409.html,2026-07-23T07:29:47Z,"Before the war in Iran, roughly 15 million barrels of Persian Gulf oil were shipped each day through the Strait of Hormuz. Within a few years, much of that oil could bypass the strait.
As Iran's cho… [+5752 chars]"
DAVID McHUGH,Mideast oil producers step up plans to bypass the Strait of Hormuz,"Before the war in Iran, roughly 15 million barrels of Persian Gulf oil were shipped each day through the Strait of Hormuz.  Within a few years, much of that...",https://www.yahoo.com/news/world/articles/mideast-oil-producers-step-plans-072947409.html,2026-07-23T07:29:47Z,"Before the war in Iran, roughly 15 million barrels of Persian Gulf oil were shipped each day through the Strait of Hormuz. Within a few years, much of that oil could bypass the strait.
As Iran's cho… [+5736 chars]"
https://www.facebook.com/bbcnews,Trump says US strikes hit Iran in 'honour' of American soldiers killed,"Iran responded with attacks in Syria and Jordan, as two ships reportedly exploded in the Strait of Hormuz.",https://www.bbc.co.uk/news/articles/cly52xzjd3qo,2026-07-20T06:31:55Z,"President Donald Trump says the latest strikes by the US hit Iran ""very hard"", adding that the attacks were ""in honour"" of three US soldiers killed in recent days - two in Jordan, one in Iraq.
In th… [+2200 chars]"
"By Jonathan Saul, Parisa Hafezi, Timour Azhari and Chen Aizhu","China in touch with Yemen's Houthis to allow ships to sail through Red Sea, sources say","By Jonathan Saul, Parisa Hafezi, Timour Azhari and Chen Aizhu LONDON/DUBAI, July 28 (Reuters) - China has held direct talks with Yemen's Houthi movement to e...",https://www.yahoo.com/news/world/articles/china-touch-yemens-houthis-allow-172748379.html,2026-07-28T17:27:48Z,"By Jonathan Saul, Parisa Hafezi, Timour Azhari and Chen Aizhu
LONDON/DUBAI, July 28 (Reuters) - China has held direct talks with Yemen's Houthi movement to enable its tankers to sail through the sou… [+3324 chars]"
Reuters,"Oil down more than 4% on profit taking, report of China-backed push to end US-Iran fighting","HOUSTON, July 24 (Reuters) - Crude oil futures prices were more than 4% lower on Friday as traders booked profits and after sources said that China had initi...",https://finance.yahoo.com/news/oil-prices-slide-but-head-for-weekly-rise-on-middle-east-escalation-084515480.html,2026-07-24T17:07:46Z,"HOUSTON, July 24 (Reuters) - Crude oil futures prices were more than 4% lower on Friday as traders booked profits and after sources said that China had initiated a push to resume stalled peace talks … [+2916 chars]"
"By Parisa Hafezi, Samia Nakhoul and Jonathan Saul","Exclusive-Iran tells Houthis to close Red Sea gateway if US hits power network, sources say","By Parisa Hafezi, Samia Nakhoul and Jonathan Saul DUBAI, July 16 (Reuters) - Iran has asked Yemen’s Houthi movement to stand ready to close the Red Sea oil r...",https://www.yahoo.com/news/world/articles/exclusive-iran-tells-houthis-close-115441161.html,2026-07-16T11:54:41Z,"By Parisa Hafezi, Samia Nakhoul and Jonathan Saul
DUBAI, July 16 (Reuters) - Iran has asked Yemen's Houthi movement to stand ready to close the Red Sea oil route if the United States strikes Iranian… [+4714 chars]"
"By Elwely Elwelly, Ahmed Elimam and Eman Abouhassira",Trump vows to punish Iran for Houthi attacks in Red Sea; oil surges over $100,"President Donald Trump promised ""major military punishment"" for Iran and its Houthi allies on Thursday after the Yemeni fighters struck two Saudi oil tankers...",https://www.yahoo.com/news/world/articles/trump-vows-to-punish-iran-for-houthi-attacks-in-red-sea-oil-surges-over-100-133244120.html,2026-07-24T00:21:05Z,"By Elwely Elwelly, Ahmed Elimam and Eman Abouhassira
DUBAI, July 23 (Reuters) - U.S. President Donald Trump promised ""major military punishment"" for Iran and its Houthi allies on Thursday after the … [+5769 chars]"
https://www.facebook.com/bbcnews,Houthis claim attack on oil tankers after US launches more strikes on Iran,"The Houthi attacks would be the first in the Red Sea since the Iran-backed group announced a ""maritime embargo"" against Saudi Arabia.",https://www.bbc.co.uk/news/articles/cpw9xzx9r4ko,2026-07-23T02:33:04Z,"Yemen's Houthis say they have attacked two Saudi oil tankers in the Red Sea after the US launched its 12th consecutive night of strikes on Iran. 
Iranian state media said two people had been killed … [+2744 chars]"
https://www.facebook.com/bbcnews,Why limited war with the US may suit Iran better than peace,Iran may believe it can control its conflict carefully enough to keep pressure on the US while avoiding an all-out war.,https://www.bbc.co.uk/news/articles/c78gnyq3wvdo,2026-07-30T17:26:01Z,"Meanwhile, Saudi Arabia, the UAE, Qatar and other oil and gas exporting countries in the region could gradually resume normal exports while Iran remained economically isolated.
A limited conflict co… [+1600 chars]"
https://www.facebook.com/bbcnews,US launches 'powerful' strikes on Iran after attempted attack on American troops,"The US military called the strikes ""a powerful response"" to Tuesday's firing by Iran on US bases in Jordan.",https://www.bbc.co.uk/news/articles/c74gwdzywmeo,2026-07-30T01:16:55Z,"The US military says it has begun launching strikes against Iran in retaliation for an attempted surprise attack on American forces in the Middle East.
Centcom said on X the strikes were ""a powerful… [+2492 chars]"
Joe Hernandez,How a fertilizer shortage caused by the Iran war could affect U.S. food prices,"The closure of the Strait of Hormuz disrupted shipments of fertilizer and natural gas, a key component in fertilizer manufacturing. It's unlikely to cause major price hikes for U.S. grocery shoppers.",https://www.npr.org/2026/07/03/nx-s1-5877344/fertilizer-shortage-food-prices,2026-07-03T09:00:00Z,"When the war with Iran started, one of the top economic concerns globally was the slowdown of oil shipments. But there was another critical export that got stuck in the region when hostilities began:… [+6993 chars]"
"By Nayera Abdallah, Eman Abouhassira and Timour Azhari","Houthis impose Saudi naval blockade, opening new front in US-Iran war","DUBAI/RIYADH, July 20 (Reuters) - Yemen's Iran-aligned Houthis said on Monday they were imposing a naval blockade on Saudi Arabia, a move that opens a new fr...",https://uk.news.yahoo.com/us-launches-iran-strikes-ninth-015151599.html,2026-07-20T13:52:32Z,"By Nayera Abdallah, Eman Abouhassira and Timour Azhari
DUBAI/RIYADH, July 20 (Reuters) - Yemen's Iran-aligned Houthis said on Monday they were imposing a naval blockade on Saudi Arabia, a move that … [+5523 chars]"
By Timour Azhari and Parisa Hafezi,Oman presents Iran with Gulf-backed plan for voluntary fees to use Hormuz,"DUBAI, July 28 (Reuters) - Oman has presented Iran with a plan backed by Gulf states to manage the Strait of Hormuz, including collecting voluntary fees for...",https://uk.news.yahoo.com/gulf-states-back-plan-let-104804717.html,2026-07-28T17:57:12Z,"By Timour Azhari and Parisa Hafezi
DUBAI, July 28 (Reuters) - Oman has presented Iran with a plan backed by Gulf states to manage the Strait of Hormuz, including collecting voluntary fees for using … [+5478 chars]"
FATMA KHALED,Yemen's Iranian-backed Houthis say they will block Saudi shipping at Red Sea gateway,Yemen's Iranian-backed Houthi rebels on Monday announced they are imposing a maritime embargo against Saudi Arabia in retaliation for a blockade on Yemen and...,https://www.yahoo.com/news/world/articles/yemens-houthis-announce-maritime-embargo-122121844.html,2026-07-20T12:21:21Z,CAIRO (AP) Yemen's Iranian-backed Houthi rebels on Monday announced they are imposing a maritime embargo against Saudi Arabia in retaliation for a blockade on Yemen and a recent attack on Sanaa Inter… [+4188 chars]
The Associated Press,Jordan intercepts Iranian missiles as U.S. and Saudi Arabia strike militias in Iraq,"Jordan intercepted five missiles launched from Iran, the country's military said, hours after the U.S. military said it had knocked down an Iranian missile barrage launched against American forces.",https://www.npr.org/2026/07/29/g-s1-136063/us-saudi-arabia-iran-iraq,2026-07-29T09:07:03Z,"CAIRO Jordan's air defenses intercepted five missiles launched from Iran early Wednesday, the country's military said, hours after the U.S. military said it had knocked down an Iranian missile barrag… [+5142 chars]"
https://www.facebook.com/bbcnews,Houthi attacks raise fears of wider Middle East conflict and more global economic damage,The Iran-backed group in Yemen has threatened to target Saudi vessels in a vital shipping route.,https://www.bbc.co.uk/news/articles/cvgve0vxy1yo,2026-07-23T17:06:08Z,"Yemen's Houthi fighters claim to have attacked shipping in the Red Sea - a move that threatens to further escalate the already volatile situation in the Middle East.
By forcing ships to turn back fr… [+2425 chars]"
The Associated Press,US attacks Iran over ship being hit in Strait of Hormuz; Tehran lashes out again at Gulf Arab states,"The United States attacked Iran early Sunday morning over an Iranian attack on a vessel in the Strait of Hormuz. Iran apparently responded with strikes targeting Bahrain, Qatar and the United Arab Emirates.",https://www.npr.org/2026/07/11/g-s1-133212/us-iran-vessel-attack-strait-hormuz-gulf,2026-07-12T01:32:36Z,"DUBAI, United Arab Emirates The United States attacked Iran early Sunday morning over an Iranian attack on a vessel in the Strait of Hormuz, setting the container ship ablaze and forcing its crew to … [+3516 chars]"
SUZAN FRASER and JOSEPH KRAUSS,Here's why new fronts seem to be opening up across the Middle East,A look at why so many fronts seem to be heating up at once in the Middle East.,https://www.yahoo.com/news/world/articles/ml--iran-us-new-fronts-explainer-170141335.html,2026-07-30T17:01:41Z,"ANKARA, Turkey (AP) Houthi rebels in Yemen said they attacked Saudi oil facilities. The Saudis blamed militias in Iraq and joined the United States in bombing them. Iran fired missiles at Jordan. Dro… [+5332 chars]"
Jane Arraf,U.S. and Iranian attacks continue as tensions mount on a key waterway in the Red Sea,"The attacks overshadowed diplomatic efforts in Pakistan, one of the conflict's mediators, where a senior Iranian official held talks potentially aimed at reviving a collapsed ceasefire between the United States and Iran.",https://www.npr.org/2026/07/22/nx-s1-5902843/us-iran-updates,2026-07-22T10:46:01Z,"The U.S. military launched more airstrikes on Iran early Wednesday as Iran hit back against U.S. military targets in the Gulf and Jordan.
The attacks overshadowed diplomatic efforts in Pakistan, one… [+4888 chars]"
Al Jazeera Staff,Iran and Oman exchange proposals to manage Strait of Hormuz,"Omani proposal is based on the Strait of Malacca model, where ships that use the strait provide voluntary fees.",https://www.aljazeera.com/news/2026/7/28/iran-and-oman-exchange-proposals-to-manage-strait-of-hormuz,2026-07-28T21:01:19Z,"Iran and Oman have exchanged proposals regarding the future management of the Strait of Hormuz, as points of contention continue to exist between the two nations whose territorial waters border the s… [+3372 chars]"
The Associated Press,Can the U.S. and Iran take the off-ramp?,"The U.S. military has paused its airstrikes on Iran after nearly two weeks of intensifying bombing, while diplomatic efforts have pushed forward to try to avert a return to all-out war.",https://www.npr.org/2026/07/27/g-s1-135611/can-the-u-s-and-iran-take-the-off-ramp,2026-07-27T05:57:59Z,"WASHINGTON The U.S. military has paused its airstrikes on Iran after nearly two weeks of intensifying bombing, while diplomatic efforts have pushed forward to try to avert a return to all-out war.
B… [+6393 chars]"
The Associated Press,U.S. launches strikes after Iran fires on civilian vessel in Strait of Hormuz,"Iran says it again considers the Strait of Hormuz closed after its military struck a ship using an ""unauthorized route."" In response, the U.S. military announced a third round of strikes this week.",https://www.npr.org/2026/07/11/g-s1-133212/us-iran-vessel-attack-strait-hormuz,2026-07-12T01:32:36Z,"DUBAI, United Arab Emirates Iran said the Strait of Hormuz was closed once again after a warning shot fired by its military struck a vessel using an unauthorized route in the critical waterway, furth… [+5359 chars]"
"By Humeyra Pamuk, Gram Slattery and Tala Ramadan","US military says it is carrying out fresh strikes on Iran, after Trump says accord is 'over'","By Humeyra Pamuk, Gram Slattery and Tala Ramadan ANKARA/DUBAI, July 8 (Reuters) - The U.S. military said on Wednesday it was launching fresh strikes on Iran...",https://www.yahoo.com/news/politics/articles/trump-says-interim-accord-to-end-iran-war-is-over-warns-of-new-us-strikes-134814826.html,2026-07-09T01:01:28Z,"By Humeyra Pamuk, Gram Slattery and Tala Ramadan
ANKARA/DUBAI, July 8 (Reuters) - The U.S. military said on Wednesday it was launching fresh strikes on Iran aimed at keeping the critical Strait of H… [+5101 chars]"
